STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-DK-A2I4-01	-1.2831	0.2537	1.2143	0.1485	1.1374	1.6493
blca_tcga_pub_2017	TCGA-DK-A3IK-01	0.2818	0.457	-0.3116	-1.085	-0.5806	-0.8014
blca_tcga_pub_2017	TCGA-DK-A3IS-01	1.2075	0.2182	-0.755	-0.4923	-0.8947	-1.1142
blca_tcga_pub_2017	TCGA-DK-A3IV-01	0.1116	-0.1348	-0.1035	1.1272	0.129	0.4241
blca_tcga_pub_2017	TCGA-FD-A3N5-01	0.0847	0.4119	1.5841	0.3314	0.8859	0.6587
blca_tcga_pub_2017	TCGA-FD-A3N6-01	0.1187	-0.3947	-0.7655	0.7619	3.7061	-0.9135
blca_tcga_pub_2017	TCGA-FD-A3NA-01	-0.6058	-1.0732	-0.6396	-0.9293	0.5826	-0.2459
blca_tcga_pub_2017	TCGA-GV-A3JZ-01	-2.4674	1.1979	-0.224	0.9322	-0.0356	-0.0577
blca_tcga_pub_2017	TCGA-BT-A3PH-01	-0.3877	-2.0553	-0.7106	-1.3178	0.1863	-0.3085
blca_tcga_pub_2017	TCGA-BT-A3PJ-01	-0.5425	-1.4524	1.8466	-0.68	0.349	-0.0157
blca_tcga_pub_2017	TCGA-BT-A3PK-01	-0.0472	-1.0275	0.3107	-0.8253	0.7522	0.8369
blca_tcga_pub_2017	TCGA-GC-A3RB-01	-1.3297	0.2505	-0.8637	0.2874	0.7718	-0.8606
blca_tcga_pub_2017	TCGA-GD-A3OP-01	-1.2787	-0.1919	2.558	0.4443	0.5665	0.4874
blca_tcga_pub_2017	TCGA-GD-A3OQ-01	0.0693	-0.2889	-0.6583	1.494	0.3146	-0.5783
blca_tcga_pub_2017	TCGA-GD-A3OS-01	0.7406	3.5325	3.5097	-0.8673	1.7446	1.3838
blca_tcga_pub_2017	TCGA-GV-A3JV-01	-1.1509	2.8341	-0.4781	0.4502	-0.8068	-0.8492
blca_tcga_pub_2017	TCGA-GV-A3QG-01	-0.1182	0.0054	1.8507	0.2945	-0.0905	1.697
blca_tcga_pub_2017	TCGA-GV-A3QH-01	0.5907	2.0715	-0.8088	-0.3049	0.0798	-0.6659
blca_tcga_pub_2017	TCGA-GV-A3QI-01	-0.1859	-2.7121	-0.4824	-0.7464	0.7963	-0.1575
blca_tcga_pub_2017	TCGA-CU-A3QU-01	0.4098	-1.3172	-0.0283	-0.2539	0.529	-0.4384
blca_tcga_pub_2017	TCGA-CU-A3YL-01	-0.5199	7.0295	-0.5219	-0.6807	-0.9336	2.2616
blca_tcga_pub_2017	TCGA-DK-A3WX-01	1.9327	1.2164	-0.3387	-0.4142	0.5335	0.3449
blca_tcga_pub_2017	TCGA-DK-A3WY-01	-1.0052	2.2157	0.1283	1.7973	0.0149	2.3712
blca_tcga_pub_2017	TCGA-DK-A3X1-01	2.8468	-1.5484	-0.5131	-1.1483	-0.4849	-0.352
blca_tcga_pub_2017	TCGA-DK-A3X2-01	2.7173	0.4413	-0.9052	-0.5746	0.1363	-0.6161
blca_tcga_pub_2017	TCGA-E7-A3X6-01	0.9133	0.494	-0.618	-0.9211	1.8721	-0.2024
blca_tcga_pub_2017	TCGA-E7-A3Y1-01	1.1647	0.5741	-0.6158	-0.4961	-0.8416	0.1972
blca_tcga_pub_2017	TCGA-FD-A3SJ-01	-0.5029	5.472	0.2487	-0.8417	-0.6625	-0.3361
blca_tcga_pub_2017	TCGA-FD-A3SL-01	-1.0234	0.0038	2.0684	-0.2427	0.7105	1.1373
blca_tcga_pub_2017	TCGA-FD-A3SM-01	-0.22	-1.0337	-0.2164	-0.2603	2.0391	-0.4349
blca_tcga_pub_2017	TCGA-FD-A3SN-01	-1.8181	2.7066	-0.2828	-0.0436	0.7825	-0.3619
blca_tcga_pub_2017	TCGA-FD-A3SO-01	-0.2232	-1.4078	-0.2638	1.0963	0.8063	0.9048
blca_tcga_pub_2017	TCGA-FD-A3SP-01	-0.412	-0.7078	2.1542	0.0277	0.6936	2.862
blca_tcga_pub_2017	TCGA-FD-A3SQ-01	-0.931	1.0253	0.2423	1.5388	1.4977	1.5296
blca_tcga_pub_2017	TCGA-FD-A3SR-01	0.1181	6.0722	2.2871	2.4918	0.6294	1.9296
blca_tcga_pub_2017	TCGA-FD-A3SS-01	0.2663	1.1834	0.1273	1.0284	-0.372	0.259
blca_tcga_pub_2017	TCGA-G2-A3VY-01	1.433	4.4379	-0.0038	-0.2393	0.567	-0.6213
blca_tcga_pub_2017	TCGA-GC-A3BM-01	0.456	0.6485	-0.6415	0.4702	1.1955	0.5379
blca_tcga_pub_2017	TCGA-GC-A3OO-01	-0.9014	-0.522	0.3339	-0.0894	-0.479	0.5982
blca_tcga_pub_2017	TCGA-GC-A3RC-01	0.998	1.4395	0.4569	2.3068	1.0699	0.8555
blca_tcga_pub_2017	TCGA-GC-A3RD-01	-0.9548	3.7431	-0.6894	-0.1425	-0.1339	-0.7132
blca_tcga_pub_2017	TCGA-GC-A3WC-01	-0.0226	-0.1321	0.0045	2.461	1.8261	0.0379
blca_tcga_pub_2017	TCGA-GV-A3QF-01	-1.4665	2.2088	-0.7596	-1.2478	-0.3975	-0.1331
blca_tcga_pub_2017	TCGA-K4-A3WS-01	0.1604	4.1863	1.4381	-0.5123	-0.0781	1.3516
blca_tcga_pub_2017	TCGA-K4-A3WV-01	0.6281	-0.7791	-0.8742	-0.7901	1.4044	-0.4887
blca_tcga_pub_2017	TCGA-BT-A42C-01	-0.1325	1.0153	-0.4844	-0.3894	-0.4204	-0.8632
blca_tcga_pub_2017	TCGA-DK-A3WW-01	-0.0004	-1.3074	-0.7735	-0.2647	-0.5922	-0.6303
blca_tcga_pub_2017	TCGA-FJ-A3Z7-01	-2.2561	-0.1988	1.0371	-0.5277	-0.9311	0.3076
blca_tcga_pub_2017	TCGA-FJ-A3ZE-01	0.0392	-0.7572	-0.5644	-0.5195	1.054	-0.8163
blca_tcga_pub_2017	TCGA-FJ-A3ZF-01	0.6937	0.0126	-0.5241	-0.7545	-0.9322	-1.6552
blca_tcga_pub_2017	TCGA-GC-A3YS-01	1.2545	2.4881	0.7929	-0.2814	0.2233	-0.1476
blca_tcga_pub_2017	TCGA-GU-A42R-01	0.1136	4.8661	-0.7161	-0.3865	0.6845	1.3157
blca_tcga_pub_2017	TCGA-GV-A3QK-01	-0.1524	-1.02	-0.6828	-0.5773	-1.131	-0.6529
blca_tcga_pub_2017	TCGA-GV-A40E-01	-2.1819	-0.0947	1.0656	-0.3382	0.0151	-0.5012
blca_tcga_pub_2017	TCGA-GV-A40G-01	-0.7034	0.563	-0.6869	-0.5084	-0.5506	0.1187
blca_tcga_pub_2017	TCGA-K4-A3WU-01	-1.3089	-0.7155	2.0989	0.4974	0.6383	1.1311
blca_tcga_pub_2017	TCGA-BT-A42E-01	-0.6845	2.9337	-0.5909	0.1759	-0.7446	-0.5369
blca_tcga_pub_2017	TCGA-BT-A42F-01	0.6218	5.9524	-0.773	-0.0741	-0.6576	-0.5743
blca_tcga_pub_2017	TCGA-CF-A47S-01	-0.1028	0.165	-0.7311	-0.5876	-1.0061	-1.0961
blca_tcga_pub_2017	TCGA-CF-A47T-01	0.949	-0.3345	-0.7798	-0.5828	-1.3855	-1.4385
blca_tcga_pub_2017	TCGA-CF-A47V-01	1.9227	-0.3793	-0.3255	-0.2714	-0.7032	-0.5576
blca_tcga_pub_2017	TCGA-CF-A47W-01	1.5605	0.0413	-0.8946	-0.8841	-1.3294	-0.6362
blca_tcga_pub_2017	TCGA-CF-A47X-01	0.0495	0.823	-0.7942	-0.3687	0.1983	-0.6353
blca_tcga_pub_2017	TCGA-CF-A47Y-01	1.2811	0.1566	-0.7786	-0.3411	-0.8341	-0.9476
blca_tcga_pub_2017	TCGA-FD-A43N-01	-1.0843	0.7476	-0.3653	-0.7239	-0.7001	-0.4617
blca_tcga_pub_2017	TCGA-FD-A43P-01	-0.6155	4.869	1.301	-0.0141	-0.1941	-0.7511
blca_tcga_pub_2017	TCGA-FD-A43S-01	-0.526	0.0665	-0.1254	-0.6258	-1.3824	0.6462
blca_tcga_pub_2017	TCGA-FD-A43U-01	-0.7478	0.7893	0.5321	-1.0771	-1.2685	0.345
blca_tcga_pub_2017	TCGA-FD-A43X-01	0.7796	2.4438	-0.8505	-0.8674	-1.1352	-0.3578
blca_tcga_pub_2017	TCGA-GU-A42P-01	0.7919	1.694	-0.6823	-0.4172	-0.3684	0.3524
blca_tcga_pub_2017	TCGA-GU-A42Q-01	-1.3002	-1.8948	2.2838	1.7909	3.3526	-0.9119
blca_tcga_pub_2017	TCGA-E7-A4IJ-01	0.2116	2.5048	-0.7112	-0.8214	-0.6964	-0.7508
blca_tcga_pub_2017	TCGA-E7-A4XJ-01	-1.0548	-0.4743	-0.6576	-0.5372	-1.191	-1.149
blca_tcga_pub_2017	TCGA-E7-A519-01	0.3617	-1.4216	-0.709	-1.2119	-1.6291	-1.2785
blca_tcga_pub_2017	TCGA-E7-A541-01	0.7598	2.0979	-0.7063	-0.784	-0.4192	0.3087
