STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-FJ-A3ZF-01	0.8056	-0.2555	-0.3287	-0.544	-0.7951	-2.8694
blca_tcga_pub_2017	TCGA-GC-A3YS-01	1.1921	1.0196	0.9284	0.1668	0.5332	0.0053
blca_tcga_pub_2017	TCGA-GU-A42R-01	0.3548	1.8908	-0.8201	0.033	0.8678	1.1906
blca_tcga_pub_2017	TCGA-GV-A3QK-01	0.1269	-0.9938	-0.7146	-0.2411	-1.1797	-0.6143
blca_tcga_pub_2017	TCGA-GV-A40E-01	-2.4042	-0.3246	1.0624	0.0959	0.3579	-0.4094
blca_tcga_pub_2017	TCGA-GV-A40G-01	-0.3992	0.0764	-0.7267	-0.1368	-0.2353	0.2734
blca_tcga_pub_2017	TCGA-K4-A3WU-01	-1.0869	-0.7574	1.4462	0.9193	0.837	1.0716
blca_tcga_pub_2017	TCGA-BT-A42E-01	-0.3797	1.2024	-0.4725	0.6486	-0.4971	-0.456
blca_tcga_pub_2017	TCGA-BT-A42F-01	0.7528	2.2199	-1.0332	0.4027	-0.3747	-0.5058
blca_tcga_pub_2017	TCGA-CF-A47S-01	0.1705	-0.1601	-0.8718	-0.2574	-0.9283	-1.3502
blca_tcga_pub_2017	TCGA-CF-A47T-01	0.9869	-0.4847	-1.0623	-0.2497	-1.8458	-2.1534
blca_tcga_pub_2017	TCGA-CF-A47V-01	1.6027	-0.5156	0.0023	0.179	-0.4379	-0.4833
blca_tcga_pub_2017	TCGA-CF-A47W-01	1.3862	-0.2373	-1.7698	-0.8069	-1.6752	-0.5907
blca_tcga_pub_2017	TCGA-CF-A47X-01	0.3012	0.2217	-1.127	0.0566	0.5131	-0.5895
blca_tcga_pub_2017	TCGA-CF-A47Y-01	1.2094	-0.1652	-1.0573	0.0922	-0.6329	-1.0756
blca_tcga_pub_2017	TCGA-FD-A43N-01	-0.8158	0.1803	-0.0553	-0.4876	-0.4334	-0.359
blca_tcga_pub_2017	TCGA-FD-A43P-01	-0.3097	1.8917	1.1645	0.4651	0.1616	-0.7576
blca_tcga_pub_2017	TCGA-FD-A43S-01	-0.221	-0.2214	0.2486	-0.3188	-1.8357	0.7247
blca_tcga_pub_2017	TCGA-FD-A43U-01	-0.4452	0.2033	0.7796	-1.2965	-1.5075	0.4783
blca_tcga_pub_2017	TCGA-FD-A43X-01	0.8677	1.0008	-1.433	-0.7706	-1.189	-0.2318
blca_tcga_pub_2017	TCGA-GU-A42P-01	0.8765	0.6644	-0.713	-0.0081	-0.0211	0.4847
blca_tcga_pub_2017	TCGA-GU-A42Q-01	-1.076	-1.7941	1.501	1.7053	2.079	-1.0143
blca_tcga_pub_2017	TCGA-E7-A4IJ-01	0.4353	1.0266	-0.8036	-0.6745	-0.4282	-0.7571
blca_tcga_pub_2017	TCGA-E7-A4XJ-01	-0.7816	-0.582	-0.6417	-0.1797	-1.3151	-1.457
blca_tcga_pub_2017	TCGA-E7-A519-01	0.5548	-1.3359	-0.7965	-1.7512	-2.882	-1.7419
blca_tcga_pub_2017	TCGA-E7-A541-01	0.8535	0.8501	-0.7879	-0.6004	-0.0781	0.4467
blca_tcga_pub_2017	TCGA-FD-A43Y-01	0.6189	-0.1496	-0.0701	-0.8669	0.7602	0.2354
blca_tcga_pub_2017	TCGA-FD-A5BR-01	0.134	0.4124	0.1682	-0.5182	-0.8915	1.4655
blca_tcga_pub_2017	TCGA-FD-A5BS-01	0.0397	-0.3495	0.8996	0.1761	-0.7296	0.9551
blca_tcga_pub_2017	TCGA-FD-A5BT-01	0.0252	-1.5313	-0.1372	-0.5121	-2.3731	0.1818
blca_tcga_pub_2017	TCGA-FD-A5BU-01	-0.1402	0.575	0.3301	2.375	0.5381	0.3785
blca_tcga_pub_2017	TCGA-FD-A5BV-01	0.4473	-1.2009	-0.3334	-0.3646	-0.4251	-0.6049
blca_tcga_pub_2017	TCGA-FD-A5BX-01	0.559	0.1224	0.6108	-1.9063	-0.8867	1.2052
blca_tcga_pub_2017	TCGA-FJ-A3Z9-01	0.6308	-0.0098	-2.4641	-0.4595	-0.758	-2.5576
blca_tcga_pub_2017	TCGA-GC-A4ZW-01	1.0325	-0.7713	-1.9022	-0.0431	0.0713	0.0794
blca_tcga_pub_2017	TCGA-HQ-A2OF-01	-1.6767	-1.2903	-0.9155	0.0893	1.2855	-2.6826
blca_tcga_pub_2017	TCGA-HQ-A5ND-01	0.8104	0.2325	-0.2157	-0.3206	0.8733	-0.0537
blca_tcga_pub_2017	TCGA-K4-A4AC-01	-0.0038	0.2669	-0.7819	-0.3515	-1.3989	1.1195
blca_tcga_pub_2017	TCGA-K4-A54R-01	0.1088	-0.4845	-0.4731	-2.0717	-0.1738	-0.3272
blca_tcga_pub_2017	TCGA-MV-A51V-01	0.5087	0.6508	0.5702	-0.0118	-0.8319	0.0748
blca_tcga_pub_2017	TCGA-CF-A5U8-01	-0.0831	-0.4446	-1.4462	-0.6667	-0.6438	-0.5432
blca_tcga_pub_2017	TCGA-CF-A5UA-01	-0.9751	0.0336	-1.5779	-0.3936	-1.9522	-1.8801
blca_tcga_pub_2017	TCGA-CU-A5W6-01	-1.3267	0.3645	-0.3624	-0.4462	-0.1605	-0.8208
blca_tcga_pub_2017	TCGA-E7-A5KE-01	0.0887	0.5942	-1.7178	0.3079	-0.4522	0.4578
blca_tcga_pub_2017	TCGA-E7-A5KF-01	0.8275	-0.3045	0.1071	-0.0579	0.6367	-1.3481
blca_tcga_pub_2017	TCGA-FD-A5BY-01	1.9864	1.3493	-0.4069	-0.0479	0.6325	0.2865
blca_tcga_pub_2017	TCGA-FD-A5BZ-01	-0.0842	0.6762	0.667	-0.6775	0.2737	1.2105
blca_tcga_pub_2017	TCGA-FD-A5C0-01	-0.8026	0.1229	-0.2137	0.2347	-0.0323	0.0973
blca_tcga_pub_2017	TCGA-FD-A5C1-01	-1.7427	-1.4842	0.3202	0.5435	-1.1164	0.3344
blca_tcga_pub_2017	TCGA-HQ-A5NE-01	-0.058	0.1876	0.0759	0.3172	1.3425	0.7218
blca_tcga_pub_2017	TCGA-K4-A4AB-01	0.6407	0.9258	0.5085	-0.5198	1.0253	0.4792
blca_tcga_pub_2017	TCGA-K4-A5RI-01	1.2167	-0.4254	-0.4077	-0.6998	0.7794	0.9792
blca_tcga_pub_2017	TCGA-K4-A5RJ-01	-0.851	2.398	0.6684	0.8087	0.1237	1.9814
blca_tcga_pub_2017	TCGA-LT-A5Z6-01	0.8272	-1.2374	1.1916	0.4283	-1.0318	0.0837
blca_tcga_pub_2017	TCGA-BL-A5ZZ-01	0.9545	-0.5605	1.2934	-0.3329	0.3573	1.3523
blca_tcga_pub_2017	TCGA-DK-A6AV-01	-0.7685	1.8041	-0.7412	0.0756	-1.0192	-0.1274
