track_name	track_type	TCGA-AA-3984	TCGA-AA-3715	TCGA-AA-A010	TCGA-AA-3821	TCGA-AG-3882	TCGA-A6-2677	TCGA-A6-2678	TCGA-AA-3556	TCGA-AA-3979	TCGA-AA-3866	TCGA-AA-A00Q	TCGA-AA-3521	TCGA-AA-A02F	TCGA-AA-3693	TCGA-AF-3913	TCGA-AA-3973	TCGA-AA-3544	TCGA-AG-3881	TCGA-AA-A004	TCGA-AA-3527	TCGA-AA-3966	TCGA-A6-2676	TCGA-AG-3883	TCGA-AA-3684	TCGA-AA-3672	TCGA-AA-3561	TCGA-AA-A00E	TCGA-AG-A011	TCGA-AA-3525	TCGA-AA-3522	TCGA-AA-3680	TCGA-AA-A00N	TCGA-AA-A00R	TCGA-AA-3877	TCGA-AA-3949	TCGA-A6-2674	TCGA-AA-3549	TCGA-AG-3587	TCGA-AF-3400	TCGA-AA-A02H	TCGA-A6-3807	TCGA-AG-3600	TCGA-AG-A002	TCGA-AA-3947	TCGA-AA-3845	TCGA-AA-3939	TCGA-AA-3524	TCGA-AA-3977	TCGA-AG-3726	TCGA-AG-3727	TCGA-AA-3710	TCGA-AA-3554	TCGA-AG-3601	TCGA-AA-3955	TCGA-AA-3534	TCGA-AA-3696	TCGA-AA-A01K	TCGA-AG-3575	TCGA-AG-3892	TCGA-AA-3831	TCGA-AA-A00U	TCGA-AG-4001	TCGA-AG-3878	TCGA-AG-4005	TCGA-AG-3894	TCGA-AA-A01D	TCGA-AA-A00O	TCGA-AA-A00D	TCGA-AG-3593	TCGA-AA-3930	TCGA-AA-3516	TCGA-AA-3864	TCGA-AA-3854	TCGA-AA-3870	TCGA-AA-A029	TCGA-AA-3673	TCGA-AG-A02X	TCGA-AA-3848	TCGA-AG-A014	TCGA-AG-3611	TCGA-AA-A01G	TCGA-AG-3605	TCGA-AA-A00L	TCGA-AG-A02G	TCGA-AA-A01Q	TCGA-AG-3594	TCGA-AA-3842	TCGA-AG-A01L	TCGA-AA-3555	TCGA-AA-A00K	TCGA-AA-3530	TCGA-AA-3818	TCGA-AG-A015	TCGA-AA-3664	TCGA-AA-A00J	TCGA-AG-3999	TCGA-AA-3681	TCGA-AA-3558	TCGA-AA-3532	TCGA-AA-A00A	TCGA-AG-3602	TCGA-A6-2683	TCGA-AA-3851	TCGA-AA-3994	TCGA-AG-3901	TCGA-AG-3887	TCGA-AA-A01I	TCGA-AG-A032	TCGA-AA-3560	TCGA-AG-3909	TCGA-AG-3586	TCGA-AG-A00H	TCGA-AA-A02W	TCGA-AF-2689	TCGA-AG-3896	TCGA-AA-A01F	TCGA-AA-3520	TCGA-AG-A00C	TCGA-AA-3975	TCGA-AA-3814	TCGA-AF-2691	TCGA-AG-3581	TCGA-AG-3902	TCGA-AG-4008	TCGA-AG-A008	TCGA-AA-3852	TCGA-AA-3837	TCGA-AG-3599	TCGA-AG-3583	TCGA-AA-3548	TCGA-AA-3695	TCGA-AA-3986	TCGA-AF-2692	TCGA-AG-A025	TCGA-AG-3580	TCGA-AA-3514	TCGA-AA-A024	TCGA-AA-3989	TCGA-AA-3833	TCGA-AA-3856	TCGA-AA-3869	TCGA-AA-3678	TCGA-AA-3692	TCGA-AA-A00Z	TCGA-A6-2672	TCGA-AY-4071	TCGA-AG-3609	TCGA-AA-3858	TCGA-AG-3584	TCGA-AA-3519	TCGA-AA-3542	TCGA-AA-3667	TCGA-AA-3666	TCGA-AA-3518	TCGA-AA-3529	TCGA-AY-4070	TCGA-AA-3679	TCGA-AA-3855	TCGA-AA-3562	TCGA-AA-3952	TCGA-AG-4015	TCGA-AG-3612	TCGA-AA-3553	TCGA-AG-3898	TCGA-AA-3972	TCGA-AA-3976	TCGA-AA-3860	TCGA-AG-3890	TCGA-AG-A016	TCGA-AA-3517	TCGA-AA-3956	TCGA-AA-3552	TCGA-AA-3531	TCGA-AG-3608	TCGA-AG-3893	TCGA-AA-A00W	TCGA-A6-2670	TCGA-AG-3598	TCGA-AA-3875	TCGA-AA-A02J	TCGA-AA-A00F	TCGA-AA-3526	TCGA-AA-3685	TCGA-AG-3578	TCGA-AA-3543	TCGA-AA-3812	TCGA-AA-3819	TCGA-AA-3846	TCGA-AA-3872	TCGA-AA-3688	TCGA-AA-A017	TCGA-AA-3538	TCGA-AG-3582	TCGA-AA-3971	TCGA-AG-3574
PTGER2	MUTATIONS			Missense Mutation (putative passenger)																																																																																																																																																																																																
TNFRSF1A	MUTATIONS																																																																																																																																																																																																			
BID	MUTATIONS																						Missense Mutation (putative passenger)																																																																																																																																																																													
CHUK	MUTATIONS			Missense Mutation (putative passenger)																																								Missense Mutation (putative passenger)																																														Missense Mutation (putative passenger)											Missense Mutation (putative passenger)																																																																																															
IKBKB	MUTATIONS			Missense Mutation (putative passenger)																																								Missense Mutation (putative passenger)																																																																																																																																																								
RAF1	MUTATIONS			Truncating mutation (putative passenger)																													Missense Mutation (putative passenger)											Missense Mutation (putative passenger)																												Missense Mutation (putative passenger)																																																																																								Missense Mutation (putative driver)																																				
DIABLO	MUTATIONS																									Missense Mutation (putative passenger)																																																																																																																																																																										
FAS	MUTATIONS																																																											Missense Mutation (putative passenger)																																																																																																																							Missense Mutation (putative passenger)																	
NFKBIA	MUTATIONS																																																																																																																																																																																																			
NFKBIB	MUTATIONS																																																																																																																																																																																			Missense Mutation (putative passenger)																
TGFBR2	MUTATIONS		Truncating mutation (putative driver)	Truncating mutation (putative driver)																		Truncating mutation (putative driver)				Truncating mutation (putative driver)		Truncating mutation (putative driver)							Truncating mutation (putative driver)	Truncating mutation (putative driver)									Truncating mutation (putative driver)	Truncating mutation (putative driver)						Truncating mutation (putative driver)																					Truncating mutation (putative driver)			Missense Mutation (putative passenger)										Truncating mutation (putative driver)																																								Truncating mutation (putative driver)											Missense Mutation (putative passenger)			Truncating mutation (putative driver)																																																								
MAP3K1	MUTATIONS			Truncating mutation (putative driver)																																								Missense Mutation (putative passenger)																													Missense Mutation (putative passenger)																																																																																																																											
CASP9	MUTATIONS																																		Missense Mutation (putative passenger)																																																																																																																					Missense Mutation (putative passenger)																																												
JUN	MUTATIONS																																																																																																																																																																																																			
GSK3B	MRNA						mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA Low	mRNA Low	mRNA Low	mRNA Low																																																																																																																																																																															
SPHK1	MRNA		mRNA High															mRNA High	mRNA High			mRNA High	mRNA High	mRNA High	mRNA High																																																																																																																																																																											
SOD1	MRNA																									mRNA High	mRNA High	mRNA High	mRNA High	mRNA High																																																																																																																																																																						
SOD2	MRNA	mRNA High																				mRNA High												mRNA High	mRNA High	mRNA High	mRNA High	mRNA High																																																																																																																																																														
CASP3	MRNA																	mRNA Low																										mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA Low	mRNA Low																																																																																																																																																	
XIAP	MRNA																																																																																																																																																																																																			
BIRC3	MRNA							mRNA High															mRNA High											mRNA High	mRNA High																	mRNA High	mRNA High																																																																																																																																															
BIRC2	MRNA							mRNA High	mRNA High																																				mRNA High	mRNA High									mRNA High																																																																																																																																													
CTNNB1	MRNA								mRNA High											mRNA Low																																											mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High																																																																																																																														
CYCS	MRNA							mRNA High		mRNA High																	mRNA High																		mRNA High		mRNA High	mRNA High	mRNA High						mRNA High																mRNA High																																																																																																																													
PPP2CA	MRNA					mRNA Low				mRNA High	mRNA High									mRNA Low																									mRNA High																												mRNA High																																																																																																																											
PPP2CB	MRNA																	mRNA Low		mRNA Low				mRNA Low							mRNA High								mRNA Low							mRNA High	mRNA High	mRNA High		mRNA Low	mRNA Low												mRNA Low											mRNA High	mRNA High	mRNA High	mRNA High	mRNA Low	mRNA Low	mRNA Low	mRNA Low	mRNA Low	mRNA Low	mRNA Low	mRNA Low																																																																																																															
MAP3K5	MRNA				mRNA High				mRNA High														mRNA High								mRNA High	mRNA High														mRNA High																												mRNA High				mRNA High									mRNA High	mRNA High	mRNA High																																																																																																											
MDM2	MRNA	mRNA High			mRNA High																										mRNA High														mRNA High	mRNA High	mRNA High					mRNA High				mRNA High	mRNA High															mRNA High	mRNA High																	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High	mRNA High																																																																																																				
KRAS	MRNA	mRNA High						mRNA High																							mRNA High	mRNA High				mRNA High									mRNA High	mRNA High	mRNA High		mRNA High																						mRNA High		mRNA High																	mRNA High								mRNA High																																																																																																		
HRAS	MRNA		mRNA High															mRNA High		mRNA High	mRNA High			mRNA High		mRNA High								mRNA High																mRNA High																																																	mRNA High																																						mRNA High																																																											
SMAD7	MRNA																																																							mRNA High										mRNA High																																																																								mRNA High																																																										
CDKN1A	MRNA		mRNA High																																																		mRNA High			mRNA High				mRNA High	mRNA High					mRNA High						mRNA High				mRNA High																																																														mRNA High	mRNA High	mRNA High																																																								
STAT3	MRNA							mRNA High	mRNA High		mRNA High			mRNA Low																		mRNA High																																																																				mRNA High	mRNA High	mRNA Low																																							mRNA High	mRNA High	mRNA High	mRNA High	mRNA High																																																			
JAK2	MRNA																																	mRNA High		mRNA High																mRNA High																				mRNA High															mRNA High																																																											mRNA High																																																		
MAP2K1	MRNA					mRNA Low		mRNA High										mRNA Low																										mRNA High		mRNA High							mRNA High																																					mRNA High													mRNA Low																																																																																													
MAP2K2	MRNA																	mRNA High		mRNA High	mRNA High																								mRNA Low					mRNA High	mRNA High													mRNA High												mRNA High													mRNA High										mRNA High																																						mRNA High											mRNA High	mRNA High																																															
FOS	MRNA																																																				mRNA High														mRNA High											mRNA High																																																												mRNA High																																																										
AKT1	MRNA		mRNA High												mRNA Low																														mRNA Low					mRNA High																	mRNA High																						mRNA High			mRNA Low							mRNA High			mRNA Low																																																mRNA High	mRNA Low																																													
AKT2	MRNA					mRNA High												mRNA High		mRNA High	mRNA High					mRNA High																			mRNA Low					mRNA High	mRNA High													mRNA High				mRNA High											mRNA High	mRNA High																			mRNA High				mRNA High																																		mRNA High																mRNA High																																											
MAPK8	MRNA								mRNA High													mRNA High																							mRNA High																												mRNA High																	mRNA High														mRNA High																																																		mRNA High	mRNA High																																									
IL6ST	MRNA							mRNA High	mRNA High																																			mRNA High									mRNA High																																					mRNA High																mRNA High																																																																																										
CCND1	MRNA																																											mRNA High		mRNA High											mRNA High											mRNA High				mRNA High																		mRNA High																																																																		mRNA High	mRNA High																																							
BAX	MRNA											mRNA High								mRNA High																									mRNA Low		mRNA High										mRNA High							mRNA High								mRNA High				mRNA High															mRNA High		mRNA High	mRNA High		mRNA Low			mRNA High								mRNA High	mRNA High																													mRNA High																			mRNA High			mRNA High																																					
BCL2	MRNA																															mRNA High		mRNA High																																																																																																																														mRNA High																																				
NFKB1	MRNA							mRNA High																mRNA Low																																											mRNA High																																			mRNA Low								mRNA High																																																			mRNA Low																																			
NFKB2	MRNA		mRNA High															mRNA High	mRNA High	mRNA High																																mRNA High																																																																																																																																																
RELA	MRNA													mRNA Low		mRNA High					mRNA Low																								mRNA Low																		mRNA High																		mRNA Low						mRNA Low															mRNA Low									mRNA High	mRNA Low																																					mRNA High	mRNA High	mRNA Low						mRNA High				mRNA Low	mRNA High	mRNA High																																	
TP53	MRNA						mRNA Low	mRNA Low			mRNA Low					mRNA High								mRNA Low																		mRNA Low						mRNA Low																	mRNA Low			mRNA Low	mRNA Low		mRNA Low				mRNA Low			mRNA Low									mRNA Low										mRNA Low			mRNA Low							mRNA High						mRNA Low	mRNA Low		mRNA High																																													mRNA Low			mRNA Low	mRNA Low	mRNA Low	mRNA Low			mRNA High	mRNA Low																									
FADD	MRNA																																												mRNA Low																											mRNA High																mRNA High								mRNA Low						mRNA High		mRNA High						mRNA High																																							mRNA High											mRNA High																																				
SOCS1	MRNA					mRNA High														mRNA High				mRNA High		mRNA High								mRNA High																																												mRNA High																																							mRNA High									mRNA High																	mRNA High			mRNA High																																								mRNA High										
PIK3CA	MRNA						mRNA High	mRNA High	mRNA High		mRNA High					mRNA High				mRNA Low																									mRNA High						mRNA Low																																							mRNA High																																																																																																										
PIK3CB	MRNA							mRNA High		mRNA High	mRNA High				mRNA High			mRNA Low	mRNA Low	mRNA Low	mRNA Low			mRNA Low																				mRNA High							mRNA Low			mRNA High																																		mRNA High		mRNA High																								mRNA High																																								mRNA High																			mRNA High																							
ATM	MRNA				mRNA High																																								mRNA High																																													mRNA High		mRNA High				mRNA High																		mRNA High																																																																											mRNA High							
SMPD1	MRNA																																																															mRNA High		mRNA High																																																																									mRNA High			mRNA High					mRNA High			mRNA High								mRNA High																																						
SMPD2	MRNA																					mRNA High							mRNA Low																				mRNA Low					mRNA High																					mRNA Low			mRNA High					mRNA Low																	mRNA High																mRNA High																																mRNA High					mRNA High		mRNA High															mRNA High																										
SMPD4	MRNA							mRNA High										mRNA Low													mRNA Low														mRNA Low		mRNA Low																																	mRNA High									mRNA High													mRNA Low																																															mRNA High													mRNA High								mRNA High				mRNA High																						
SMAD2	MRNA					mRNA Low												mRNA Low	mRNA Low	mRNA Low																								mRNA High	mRNA High					mRNA Low	mRNA Low																												mRNA Low																mRNA High								mRNA Low																																																																																													
SMAD3	MRNA		mRNA High																																																					mRNA High												mRNA High																																																																																																							mRNA High				mRNA Low																					
SMAD4	MRNA																			mRNA Low												mRNA High					mRNA Low	mRNA Low							mRNA High	mRNA High		mRNA Low		mRNA Low																									mRNA Low															mRNA High					mRNA Low															mRNA Low		mRNA Low							mRNA Low																																mRNA Low																									mRNA Low	mRNA Low																			
PTGS2	MRNA																					mRNA High								mRNA High					mRNA High		mRNA High	mRNA High						mRNA High	mRNA High																											mRNA High																		mRNA High																																																		mRNA High						mRNA High																																																		
CFLAR	MRNA	mRNA High									mRNA High																							mRNA High										mRNA High																																																												mRNA High																																																												mRNA High	mRNA High																															
IL6	MRNA	mRNA High																				mRNA High															mRNA High	mRNA High																																																																																																																																																														
MAPK1	MRNA						mRNA High	mRNA High	mRNA High									mRNA Low		mRNA Low				mRNA Low																																																													mRNA Low					mRNA High												mRNA Low																												mRNA Low																																																																		
MAPK3	MRNA															mRNA High							mRNA Low		mRNA High																									mRNA High																												mRNA High		mRNA High	mRNA High								mRNA High														mRNA High								mRNA High					mRNA High																																													mRNA High															mRNA High										mRNA High	mRNA High			mRNA High						
PTEN	MRNA				mRNA High									mRNA Low				mRNA Low			mRNA Low										mRNA High														mRNA High	mRNA High																																								mRNA High																										mRNA Low																																																																																				
CASP8	MRNA						mRNA High	mRNA High	mRNA High		mRNA High								mRNA Low													mRNA High										mRNA High			mRNA High					mRNA Low						mRNA High																																				mRNA High																																																																																																								
PTGER2	MRNA								mRNA High																																			mRNA High																													mRNA High	mRNA High				mRNA High																																																	mRNA High																												mRNA High																																									
TNFRSF1A	MRNA	mRNA High	mRNA High																mRNA High	mRNA High				mRNA High	mRNA High																				mRNA Low	mRNA High				mRNA High		mRNA High											mRNA High													mRNA High				mRNA High					mRNA High																	mRNA Low									mRNA High																													mRNA High							mRNA High			mRNA High																												mRNA High																		
BID	MRNA																	mRNA High	mRNA High																															mRNA High	mRNA High			mRNA High																																																																																																			mRNA High																										mRNA High																	
CHUK	MRNA									mRNA High											mRNA Low																								mRNA High																												mRNA High																																																																																																																						mRNA High					
IKBKB	MRNA															mRNA High								mRNA High																				mRNA High						mRNA Low				mRNA High											mRNA High			mRNA High	mRNA High								mRNA High			mRNA High	mRNA High		mRNA High												mRNA High		mRNA High			mRNA High									mRNA High	mRNA High				mRNA High				mRNA Low		mRNA High																							mRNA High	mRNA High					mRNA High	mRNA High			mRNA High							mRNA High		mRNA High		mRNA High						mRNA High			mRNA High																		mRNA High	mRNA High	mRNA High	mRNA High		
RAF1	MRNA									mRNA Low					mRNA High					mRNA Low																						mRNA Low									mRNA Low														mRNA High					mRNA High					mRNA Low														mRNA High																			mRNA Low		mRNA High						mRNA High																																			mRNA Low															mRNA High																														
DIABLO	MRNA	mRNA High								mRNA High										mRNA Low				mRNA High			mRNA High																				mRNA High																																																	mRNA High				mRNA High																	mRNA Low																																							mRNA High																																								
FAS	MRNA				mRNA High																													mRNA High	mRNA High	mRNA High									mRNA High							mRNA High								mRNA High												mRNA High																				mRNA High																																																																																																								
NFKBIA	MRNA																		mRNA High			mRNA High	mRNA High														mRNA High																mRNA High																																																																																					mRNA High																			mRNA High																																							
NFKBIB	MRNA					mRNA High												mRNA High		mRNA High				mRNA High																					mRNA Low						mRNA High																													mRNA High		mRNA High																																																																							mRNA High																	mRNA High																										
TGFBR2	MRNA						mRNA High		mRNA High			mRNA High					mRNA High																													mRNA High																															mRNA High																																																																																																																							
MAP3K1	MRNA								mRNA High																							mRNA High												mRNA High																									mRNA High																										mRNA High			mRNA High																																																								mRNA High																																										
CASP9	MRNA													mRNA Low																														mRNA High																											mRNA Low							mRNA High														mRNA Low															mRNA Low																			mRNA Low				mRNA Low																	mRNA High																		mRNA Low		mRNA Low	mRNA High																			mRNA High									
JUN	MRNA													mRNA High																		mRNA High									mRNA High																																																																																																	mRNA High						mRNA High																																					mRNA High															
GSK3B	PROTEIN																																																																																																																																																																																																			
SPHK1	PROTEIN																																																																																																																																																																																																			
SOD1	PROTEIN																																																																																																																																																																																																			
SOD2	PROTEIN																																																																																																																																																																																																			
CASP3	PROTEIN																																																																																																																																																																																																			
XIAP	PROTEIN																																																																																																																																																																																																			
BIRC3	PROTEIN																																																																																																																																																																																																			
BIRC2	PROTEIN																																																																																																																																																																																																			
CTNNB1	PROTEIN																																																																																																																																																																																																			
CYCS	PROTEIN																																																																																																																																																																																																			
PPP2CA	PROTEIN																																																																																																																																																																																																			
PPP2CB	PROTEIN																																																																																																																																																																																																			
MAP3K5	PROTEIN																																																																																																																																																																																																			
MDM2	PROTEIN																																																																																																																																																																																																			
KRAS	PROTEIN																																																																																																																																																																																																			
HRAS	PROTEIN																																																																																																																																																																																																			
SMAD7	PROTEIN																																																																																																																																																																																																			
CDKN1A	PROTEIN																																																																																																																																																																																																			
STAT3	PROTEIN																																																																																																																																																																																																			
JAK2	PROTEIN																																																																																																																																																																																																			
MAP2K1	PROTEIN																																																																																																																																																																																																			
MAP2K2	PROTEIN																																																																																																																																																																																																			
FOS	PROTEIN																																																																																																																																																																																																			
AKT1	PROTEIN																																																																																																																																																																																																			
AKT2	PROTEIN																																																																																																																																																																																																			
MAPK8	PROTEIN																																																																																																																																																																																																			
IL6ST	PROTEIN																																																																																																																																																																																																			
CCND1	PROTEIN																																																																																																																																																																																																			
BAX	PROTEIN																																																																																																																																																																																																			
BCL2	PROTEIN																																																																																																																																																																																																			
NFKB1	PROTEIN																																																																																																																																																																																																			
NFKB2	PROTEIN																																																																																																																																																																																																			
RELA	PROTEIN																																																																																																																																																																																																			
TP53	PROTEIN																																																																																																																																																																																																			
FADD	PROTEIN																																																																																																																																																																																																			
SOCS1	PROTEIN																																																																																																																																																																																																			
PIK3CA	PROTEIN																																																																																																																																																																																																			
PIK3CB	PROTEIN																																																																																																																																																																																																			
ATM	PROTEIN																																																																																																																																																																																																			
SMPD1	PROTEIN																																																																																																																																																																																																			
SMPD2	PROTEIN																																																																																																																																																																																																			
SMPD4	PROTEIN																																																																																																																																																																																																			
SMAD2	PROTEIN																																																																																																																																																																																																			
SMAD3	PROTEIN																																																																																																																																																																																																			
SMAD4	PROTEIN																																																																																																																																																																																																			
PTGS2	PROTEIN																																																																																																																																																																																																			
CFLAR	PROTEIN																																																																																																																																																																																																			
IL6	PROTEIN																																																																																																																																																																																																			
MAPK1	PROTEIN																																																																																																																																																																																																			
MAPK3	PROTEIN																																																																																																																																																																																																			
PTEN	PROTEIN																																																																																																																																																																																																			
CASP8	PROTEIN																																																																																																																																																																																																			
PTGER2	PROTEIN																																																																																																																																																																																																			
TNFRSF1A	PROTEIN																																																																																																																																																																																																			
BID	PROTEIN																																																																																																																																																																																																			
CHUK	PROTEIN																																																																																																																																																																																																			
IKBKB	PROTEIN																																																																																																																																																																																																			
RAF1	PROTEIN																																																																																																																																																																																																			
DIABLO	PROTEIN																																																																																																																																																																																																			
FAS	PROTEIN																																																																																																																																																																																																			
NFKBIA	PROTEIN																																																																																																																																																																																																			
NFKBIB	PROTEIN																																																																																																																																																																																																			
TGFBR2	PROTEIN																																																																																																																																																																																																			
MAP3K1	PROTEIN																																																																																																																																																																																																			
CASP9	PROTEIN																																																																																																																																																																																																			
JUN	PROTEIN																																																																																																																																																																																																			
GSK3B	FUSION																																																																																																																																																																																																			
SPHK1	FUSION																																																																																																																																																																																																			
SOD1	FUSION																																																																																																																																																																																																			
SOD2	FUSION																																																																																																																																																																																																			
CASP3	FUSION																																																																																																																																																																																																			
XIAP	FUSION																																																																																																																																																																																																			
BIRC3	FUSION																																																																																																																																																																																																			
BIRC2	FUSION																																																																																																																																																																																																			
CTNNB1	FUSION																																																																																																																																																																																																			
CYCS	FUSION																																																																																																																																																																																																			
PPP2CA	FUSION																																																																																																																																																																																																			
PPP2CB	FUSION																																																																																																																																																																																																			
MAP3K5	FUSION																																																																																																																																																																																																			
MDM2	FUSION																																																																																																																																																																																																			
KRAS	FUSION																																																																																																																																																																																																			
HRAS	FUSION																																																																																																																																																																																																			
SMAD7	FUSION																																																																																																																																																																																																			
CDKN1A	FUSION																																																																																																																																																																																																			
STAT3	FUSION																																																																																																																																																																																																			
JAK2	FUSION																																																																																																																																																																																																			
MAP2K1	FUSION																																																																																																																																																																																																			
MAP2K2	FUSION																																																																																																																																																																																																			
FOS	FUSION																																																																																																																																																																																																			
AKT1	FUSION																																																																																																																																																																																																			
AKT2	FUSION																																																																																																																																																																																																			
MAPK8	FUSION																																																																																																																																																																																																			
IL6ST	FUSION																																																																																																																																																																																																			
CCND1	FUSION																																																																																																																																																																																																			
BAX	FUSION																																																																																																																																																																																																			
BCL2	FUSION																																																																																																																																																																																																			
NFKB1	FUSION																																																																																																																																																																																																			
NFKB2	FUSION																																																																																																																																																																																																			
RELA	FUSION																																																																																																																																																																																																			
TP53	FUSION																																																																																																																																																																																																			
FADD	FUSION																																																																																																																																																																																																			
SOCS1	FUSION																																																																																																																																																																																																			
PIK3CA	FUSION																																																																																																																																																																																																			
PIK3CB	FUSION																																																																																																																																																																																																			
ATM	FUSION																																																																																																																																																																																																			
SMPD1	FUSION																																																																																																																																																																																																			
SMPD2	FUSION																																																																																																																																																																																																			
SMPD4	FUSION																																																																																																																																																																																																			
SMAD2	FUSION																																																																																																																																																																																																			
SMAD3	FUSION																																																																																																																																																																																																			
SMAD4	FUSION																																																																																																																																																																																																			
PTGS2	FUSION																																																																																																																																																																																																			
CFLAR	FUSION																																																																																																																																																																																																			
IL6	FUSION																																																																																																																																																																																																			
MAPK1	FUSION																																																																																																																																																																																																			
MAPK3	FUSION																																																																																																																																																																																																			
PTEN	FUSION																																																																																																																																																																																																			
CASP8	FUSION																																																																																																																																																																																																			
PTGER2	FUSION																																																																																																																																																																																																			
TNFRSF1A	FUSION																																																																																																																																																																																																			
BID	FUSION																																																																																																																																																																																																			
CHUK	FUSION																																																																																																																																																																																																			
IKBKB	FUSION																																																																																																																																																																																																			
RAF1	FUSION																																																																																																																																																																																																			
DIABLO	FUSION																																																																																																																																																																																																			
FAS	FUSION																																																																																																																																																																																																			
NFKBIA	FUSION																																																																																																																																																																																																			
NFKBIB	FUSION																																																																																																																																																																																																			
TGFBR2	FUSION																																																																																																																																																																																																			
MAP3K1	FUSION																																																																																																																																																																																																			
CASP9	FUSION																																																																																																																																																																																																			
JUN	FUSION																																																																																																																																																																																																			
