,cell line,condition,io_ratio
206,J82,"['~ERK', '~AKT', '~PKC']",0.0
207,J82,"['~ERK', '~AKT', '~RAF']",0.0
208,J82,"['~ERK', '~AKT', '~RSK']",0.0
209,J82,"['~ERK', '~AKT', '~TAOK']",0.0
210,J82,"['~ERK', '~BCL2', '~FGFR3']",0.0
211,J82,"['~ERK', '~BCL2', '~MAP3K1_3']",0.0
212,J82,"['~ERK', '~BCL2', '~PLCG']",0.0
213,J82,"['~ERK', '~BCL2', '~PPP2CA']",0.0
214,J82,"['~ERK', '~BCL2', '~RAS']",0.0
215,J82,"['~ERK', '~BCL2', '~SOS']",0.0
216,J82,"['~ERK', '~BCL2', '~ATF2']",0.0
217,J82,"['~ERK', '~BCL2', '~ATM']",0.0
218,J82,"['~ERK', '~BCL2', '~ELK1']",0.0
219,J82,"['~ERK', '~BCL2', '~FOS']",0.0
220,J82,"['~ERK', '~BCL2', '~FRS2']",0.0
221,J82,"['~ERK', '~BCL2', '~GAB1']",0.0
222,J82,"['~ERK', '~BCL2', '~GRB2']",0.0
223,J82,"['~ERK', '~BCL2', '~JUN']",0.0
224,J82,"['~ERK', '~BCL2', '~PKC']",0.0
225,J82,"['~ERK', '~BCL2', '~RAF']",0.0
226,J82,"['~ERK', '~BCL2', '~RSK']",0.0
227,J82,"['~ERK', '~BCL2', '~TAOK']",0.0
228,J82,"['~ERK', '~FGFR3', '~MAP3K1_3']",0.0
229,J82,"['~ERK', '~FGFR3', '~PLCG']",0.0
230,J82,"['~ERK', '~FGFR3', '~PPP2CA']",0.0
231,J82,"['~ERK', '~FGFR3', '~RAS']",0.0
232,J82,"['~ERK', '~FGFR3', '~SOS']",0.0
233,J82,"['~ERK', '~FGFR3', '~ATF2']",0.0
234,J82,"['~ERK', '~FGFR3', '~ATM']",0.0
235,J82,"['~ERK', '~FGFR3', '~ELK1']",0.0
236,J82,"['~ERK', '~FGFR3', '~FOS']",0.0
237,J82,"['~ERK', '~FGFR3', '~FRS2']",0.0
238,J82,"['~ERK', '~FGFR3', '~GAB1']",0.0
239,J82,"['~ERK', '~FGFR3', '~GRB2']",0.0
240,J82,"['~ERK', '~FGFR3', '~JUN']",0.0
241,J82,"['~ERK', '~FGFR3', '~PKC']",0.0
242,J82,"['~ERK', '~FGFR3', '~RAF']",0.0
243,J82,"['~ERK', '~FGFR3', '~RSK']",0.0
244,J82,"['~ERK', '~FGFR3', '~TAOK']",0.0
245,J82,"['~ERK', '~MAP3K1_3', '~PLCG']",0.0
246,J82,"['~ERK', '~MAP3K1_3', '~PPP2CA']",0.0
247,J82,"['~ERK', '~MAP3K1_3', '~RAS']",0.0
248,J82,"['~ERK', '~MAP3K1_3', '~SOS']",0.0
249,J82,"['~ERK', '~MAP3K1_3', '~ATF2']",0.0
250,J82,"['~ERK', '~MAP3K1_3', '~ATM']",0.0
251,J82,"['~ERK', '~MAP3K1_3', '~ELK1']",0.0
252,J82,"['~ERK', '~MAP3K1_3', '~FOS']",0.0
253,J82,"['~ERK', '~MAP3K1_3', '~FRS2']",0.0
254,J82,"['~ERK', '~MAP3K1_3', '~GAB1']",0.0
255,J82,"['~ERK', '~MAP3K1_3', '~GRB2']",0.0
256,J82,"['~ERK', '~MAP3K1_3', '~JUN']",0.0
257,J82,"['~ERK', '~MAP3K1_3', '~PKC']",0.0
258,J82,"['~ERK', '~MAP3K1_3', '~RAF']",0.0
259,J82,"['~ERK', '~MAP3K1_3', '~RSK']",0.0
260,J82,"['~ERK', '~MAP3K1_3', '~TAOK']",0.0
261,J82,"['~ERK', '~PLCG', '~PPP2CA']",0.0
262,J82,"['~ERK', '~PLCG', '~RAS']",0.0
263,J82,"['~ERK', '~PLCG', '~SOS']",0.0
264,J82,"['~ERK', '~PLCG', '~ATF2']",0.0
265,J82,"['~ERK', '~PLCG', '~ATM']",0.0
266,J82,"['~ERK', '~PLCG', '~ELK1']",0.0
267,J82,"['~ERK', '~PLCG', '~FOS']",0.0
268,J82,"['~ERK', '~PLCG', '~FRS2']",0.0
269,J82,"['~ERK', '~PLCG', '~GAB1']",0.0
270,J82,"['~ERK', '~PLCG', '~GRB2']",0.0
271,J82,"['~ERK', '~PLCG', '~JUN']",0.0
272,J82,"['~ERK', '~PLCG', '~PKC']",0.0
273,J82,"['~ERK', '~PLCG', '~RAF']",0.0
274,J82,"['~ERK', '~PLCG', '~RSK']",0.0
275,J82,"['~ERK', '~PLCG', '~TAOK']",0.0
276,J82,"['~ERK', '~PPP2CA', '~RAS']",0.0
277,J82,"['~ERK', '~PPP2CA', '~SOS']",0.0
278,J82,"['~ERK', '~PPP2CA', '~ATF2']",0.0
279,J82,"['~ERK', '~PPP2CA', '~ATM']",0.0
280,J82,"['~ERK', '~PPP2CA', '~ELK1']",0.0
281,J82,"['~ERK', '~PPP2CA', '~FOS']",0.0
282,J82,"['~ERK', '~PPP2CA', '~FRS2']",0.0
283,J82,"['~ERK', '~PPP2CA', '~GAB1']",0.0
284,J82,"['~ERK', '~PPP2CA', '~GRB2']",0.0
285,J82,"['~ERK', '~PPP2CA', '~JUN']",0.0
286,J82,"['~ERK', '~PPP2CA', '~PKC']",0.0
287,J82,"['~ERK', '~PPP2CA', '~RAF']",0.0
288,J82,"['~ERK', '~PPP2CA', '~RSK']",0.0
289,J82,"['~ERK', '~PPP2CA', '~TAOK']",0.0
290,J82,"['~ERK', '~RAS', '~SOS']",0.0
291,J82,"['~ERK', '~RAS', '~ATF2']",0.0
292,J82,"['~ERK', '~RAS', '~ATM']",0.0
293,J82,"['~ERK', '~RAS', '~ELK1']",0.0
294,J82,"['~ERK', '~RAS', '~FOS']",0.0
295,J82,"['~ERK', '~RAS', '~FRS2']",0.0
296,J82,"['~ERK', '~RAS', '~GAB1']",0.0
297,J82,"['~ERK', '~RAS', '~GRB2']",0.0
298,J82,"['~ERK', '~RAS', '~JUN']",0.0
299,J82,"['~ERK', '~RAS', '~PKC']",0.0
300,J82,"['~ERK', '~RAS', '~RAF']",0.0
