,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
221,bt474_short,60,16,31,8,3,0,5,0.75,0.6875,0.375,0.3125,7.4,5.0,2.0,15,0.4411764705882353,19,1.1875,random,,0.6875
223,bt474_short,93,16,32,8,2,0,6,0.59375,0.6875,0.125,0.4375,4.0,5.0,2.0,16,0.4705882352941176,8,0.5,random,,0.625
224,bt474_short,76,16,34,2,6,0,8,0.65625,0.64044189453125,0.375,0.3125,11.6,5.0,2.0,15,0.4411764705882353,17,1.0625,random,,0.5
225,bt474_short,59,16,32,13,2,0,1,0.65625,0.6875,0.0,0.5,3.0,5.0,2.0,12,0.3529411764705882,12,0.75,random,,0.9375
226,bt474_short,92,16,32,3,4,0,9,0.5625,0.6875,0.5625,0.21875,8.4,5.0,2.0,13,0.3823529411764705,9,0.5625,random,,0.4375
227,bt474_short,75,16,32,3,7,0,6,0.65625,0.64776611328125,0.25,0.375,6.4,5.0,2.0,19,0.5588235294117647,6,0.375,random,,0.625
228,bt474_short,14,16,31,3,5,0,8,0.5729166666666667,0.62677001953125,0.3125,0.34375,5.6,5.0,2.0,15,0.4411764705882353,9,0.5625,random,,0.5
229,bt474_short,91,16,34,5,5,0,6,0.59375,0.60137939453125,0.0,0.875,5.0285714285714285,5.0,2.0,15,0.4411764705882353,9,0.5625,random,,0.625
231,bt474_short,0,16,33,3,4,0,9,0.546875,0.6229248046875,0.21875,0.390625,13.2,5.0,2.0,16,0.4705882352941176,6,0.375,random,,0.4375
232,bt474_short,90,16,34,3,6,0,7,0.65625,0.68170166015625,0.0,0.65625,6.123809523809523,5.0,2.0,13,0.3823529411764705,14,0.875,random,,0.5625
233,bt474_short,73,16,32,1,5,0,10,0.4375,0.6556396484375,0.0,0.78125,4.88,5.0,2.0,12,0.375,11,0.6875,random,,0.375
234,bt474_short,32,16,33,10,3,0,3,0.5338541666666666,0.6702880859375,0.5,0.25,2.8,5.0,2.0,15,0.4411764705882353,14,0.875,random,,0.8125
235,bt474_short,56,16,34,12,3,0,1,0.6875,0.685791015625,0.0,0.5,6.6,5.0,2.0,16,0.4705882352941176,15,0.9375,random,,0.9375
236,bt474_short,6,16,34,6,6,0,4,0.3229166666666667,0.67034912109375,0.125,0.4375,7.4,5.0,2.0,15,0.4411764705882353,18,1.125,random,,0.75
237,bt474_short,89,16,31,13,1,0,2,0.90625,0.6400146484375,0.5,0.25,5.0,5.0,2.0,17,0.5,8,0.5,random,,0.875
238,bt474_short,15,16,32,8,3,0,5,0.59375,0.6182861328125,0.0,0.8125,2.3404255319148937,5.0,2.0,15,0.46875,8,0.5,random,,0.6875
239,bt474_short,72,16,28,8,4,0,4,0.5,0.68017578125,0.125,0.4375,3.333333333333333,5.0,2.0,13,0.3823529411764705,16,1.0,random,,0.75
241,bt474_short,16,16,33,6,5,0,5,0.34375,0.57147216796875,0.0,0.9375,2.6666666666666665,5.0,2.0,16,0.5,13,0.8125,random,,0.6875
242,bt474_short,57,16,32,7,4,0,5,0.515625,0.6575927734375,0.125,0.4375,2.6,5.0,2.0,16,0.4705882352941176,10,0.625,random,,0.6875
243,bt474_short,88,16,33,4,5,0,7,0.75,0.57257080078125,0.0625,0.78125,4.826086956521739,5.0,2.0,15,0.46875,11,0.6875,random,,0.5625
244,bt474_short,71,16,34,3,6,0,7,0.59375,0.5946044921875,0.6875,0.15625,9.0,5.0,2.0,19,0.5588235294117647,7,0.4375,random,,0.5625
245,bt474_short,87,16,31,6,5,0,5,0.75,0.6875,0.0,0.96875,4.793548387096775,5.0,2.0,13,0.40625,19,1.1875,random,,0.6875
246,bt474_short,70,16,31,3,8,0,5,0.421875,0.61590576171875,0.0,0.8125,2.795918367346939,5.0,2.0,12,0.375,13,0.8125,random,,0.6875
247,bt474_short,17,16,32,4,5,0,7,0.78125,0.6875,0.5,0.25,6.0,5.0,2.0,16,0.4705882352941176,8,0.5,random,,0.5625
248,bt474_short,58,16,31,3,5,0,8,0.625,0.66766357421875,0.0,0.78125,3.464,5.0,2.0,15,0.4411764705882353,17,1.0625,random,,0.5
