,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
22,22.0,53.0,102.0,52.0,1.0,0.0,0.0,0.6981132075471698,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
23,23.0,53.0,103.0,45.0,8.0,0.0,0.0,0.6320754716981132,0.9037256780660378,-1.0,0.0,1.0,4.0,3.0
24,24.0,53.0,102.0,42.0,9.0,0.0,2.0,0.5817610062893082,0.8679245283018868,-1.0,0.0,1.0,4.0,3.0
25,25.0,53.0,102.0,49.0,1.0,0.0,3.0,0.6084905660377359,0.8524653596698113,-1.0,0.0,1.0,4.0,3.0
26,26.0,53.0,102.0,32.0,16.0,1.0,4.0,0.6037735849056604,0.8963185436320755,-1.0,0.0,1.0,4.0,3.0
27,27.0,53.0,102.0,33.0,10.0,0.0,10.0,0.7452830188679245,0.9245283018867925,33.0,0.3333333333333333,0.25,4.0,3.0
28,28.0,53.0,103.0,40.0,8.0,2.0,3.0,0.7169811320754716,0.8861844044811321,-1.0,0.0,1.0,4.0,3.0
29,29.0,53.0,102.0,35.0,13.0,1.0,4.0,0.6698113207547169,0.9007959905660378,-1.0,0.0,1.0,4.0,3.0
30,30.0,53.0,103.0,50.0,0.0,0.0,3.0,0.5990566037735849,0.8112654775943396,-1.0,0.0,1.0,4.0,3.0
31,31.0,53.0,102.0,45.0,4.0,1.0,3.0,0.7452830188679245,0.9094560731132075,2.0,0.16666666666666666,0.5,4.0,3.0
32,32.0,53.0,103.0,38.0,12.0,0.0,3.0,0.6509433962264151,0.9022700471698113,30.5,0.16666666666666666,0.5,4.0,3.0
33,33.0,53.0,104.0,48.0,4.0,0.0,1.0,0.6768867924528302,0.8592275943396226,-1.0,0.0,1.0,4.0,3.0
34,34.0,53.0,102.0,40.0,10.0,1.0,2.0,0.5723270440251571,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
35,35.0,53.0,102.0,44.0,6.0,0.0,3.0,0.7405660377358491,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
36,36.0,53.0,103.0,46.0,6.0,0.0,1.0,0.7028301886792453,0.8997641509433962,-1.0,0.0,1.0,4.0,3.0
37,37.0,53.0,101.0,39.0,11.0,0.0,3.0,0.7830188679245284,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
38,38.0,53.0,102.0,47.0,4.0,0.0,2.0,0.6855345911949685,0.8452240566037735,-1.0,0.0,1.0,4.0,3.0
39,39.0,53.0,101.0,45.0,8.0,0.0,0.0,0.5408805031446542,0.7947560436320755,-1.0,0.0,1.0,4.0,3.0
40,40.0,53.0,103.0,27.0,11.0,6.0,9.0,0.7452830188679245,0.9245283018867925,50.0,0.5,0.5,4.0,3.0
41,41.0,53.0,101.0,41.0,11.0,0.0,1.0,0.5330188679245284,0.8423680719339622,-1.0,0.0,1.0,4.0,3.0
42,42.0,53.0,99.0,49.0,3.0,0.0,1.0,0.5916442048517521,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
43,43.0,53.0,104.0,32.0,12.0,0.0,9.0,0.6698113207547169,0.8818359375,18.666666666666668,0.25,0.5,4.0,3.0
44,44.0,53.0,103.0,30.0,12.0,0.0,11.0,0.7169811320754716,0.904296875,28.0,0.16666666666666666,0.5,4.0,3.0
45,45.0,53.0,103.0,47.0,4.0,1.0,1.0,0.6415094339622641,0.9056603773584906,-1.0,0.0,1.0,4.0,3.0
46,46.0,53.0,102.0,30.0,16.0,1.0,6.0,0.6949685534591195,0.8892983490566038,20.5,0.16666666666666666,0.5,4.0,3.0
47,47.0,53.0,104.0,39.0,5.0,0.0,9.0,0.6981132075471698,0.9245283018867925,44.25,0.16666666666666666,0.5,4.0,3.0
48,48.0,53.0,103.0,49.0,4.0,0.0,0.0,0.7169811320754716,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
49,49.0,53.0,102.0,39.0,10.0,0.0,4.0,0.6344339622641509,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
50,50.0,53.0,102.0,33.0,17.0,2.0,1.0,0.7264150943396226,0.9098614386792453,-1.0,0.0,1.0,4.0,3.0
51,51.0,53.0,101.0,44.0,9.0,0.0,0.0,0.6776729559748427,0.8677402712264151,-1.0,0.0,1.0,4.0,3.0
52,52.0,53.0,104.0,50.0,2.0,0.0,1.0,0.7641509433962265,0.8847471992924528,-1.0,0.0,1.0,4.0,3.0
53,53.0,53.0,103.0,50.0,2.0,0.0,1.0,0.660377358490566,0.8637234669811321,-1.0,0.0,1.0,4.0,3.0
54,54.0,53.0,102.0,48.0,5.0,0.0,0.0,0.7075471698113207,0.9058446344339622,-1.0,0.0,1.0,4.0,3.0
55,55.0,53.0,102.0,38.0,11.0,0.0,4.0,0.7216981132075472,0.8998931308962265,4.666666666666667,0.16666666666666666,0.5,4.0,3.0
56,56.0,53.0,102.0,32.0,17.0,3.0,1.0,0.6981132075471698,0.9103589327830188,-1.0,0.0,1.0,4.0,3.0
57,57.0,53.0,102.0,50.0,3.0,0.0,0.0,0.7358490566037735,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
58,58.0,53.0,103.0,38.0,6.0,0.0,9.0,0.7264150943396226,0.9166052476415094,8.5,0.16666666666666666,0.5,4.0,3.0
59,59.0,53.0,101.0,50.0,3.0,0.0,0.0,0.7594339622641509,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
60,60.0,53.0,101.0,49.0,3.0,0.0,1.0,0.7358490566037735,0.886497641509434,-1.0,0.0,1.0,4.0,3.0
61,61.0,53.0,100.0,47.0,5.0,0.0,1.0,0.7075471698113207,0.8867924528301887,-1.0,0.0,1.0,4.0,3.0
62,62.0,53.0,101.0,43.0,10.0,0.0,0.0,0.7169811320754716,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
63,63.0,53.0,102.0,44.0,8.0,0.0,1.0,0.6886792452830188,0.8764372051886793,-1.0,0.0,1.0,4.0,3.0
64,64.0,53.0,101.0,36.0,15.0,0.0,2.0,0.6792452830188679,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
65,65.0,53.0,102.0,51.0,1.0,0.0,1.0,0.7924528301886793,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
66,66.0,53.0,102.0,46.0,4.0,0.0,3.0,0.7358490566037735,0.9147626768867925,-1.0,0.0,1.0,4.0,3.0
67,67.0,53.0,102.0,41.0,12.0,0.0,0.0,0.6132075471698113,0.9185215212264151,-1.0,0.0,1.0,4.0,3.0
68,68.0,53.0,101.0,43.0,9.0,0.0,1.0,0.7075471698113207,0.9237175707547169,-1.0,0.0,1.0,4.0,3.0
69,69.0,53.0,100.0,35.0,17.0,0.0,1.0,0.6981132075471698,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
70,70.0,53.0,103.0,51.0,2.0,0.0,0.0,0.6320754716981132,0.9103405070754716,-1.0,0.0,1.0,4.0,3.0
71,71.0,53.0,103.0,46.0,5.0,0.0,2.0,0.5943396226415094,0.8429761202830188,-1.0,0.0,1.0,4.0,3.0
72,72.0,53.0,101.0,43.0,6.0,2.0,2.0,0.7452830188679245,0.9106537441037735,-1.0,0.0,1.0,4.0,3.0
73,73.0,53.0,101.0,38.0,13.0,0.0,2.0,0.4893867924528302,0.8769715507075472,27.0,0.16666666666666666,0.5,4.0,3.0
74,74.0,53.0,103.0,42.0,9.0,0.0,2.0,0.7264150943396226,0.8965396521226415,-1.0,0.0,1.0,4.0,3.0
75,75.0,53.0,104.0,45.0,8.0,0.0,0.0,0.6320754716981132,0.8873267983490566,-1.0,0.0,1.0,4.0,3.0
76,76.0,53.0,103.0,42.0,11.0,0.0,0.0,0.8018867924528302,0.9190927181603774,-1.0,0.0,1.0,4.0,3.0
77,77.0,53.0,102.0,39.0,12.0,0.0,2.0,0.5919811320754716,0.8262640035377359,12.75,0.16666666666666666,0.5,4.0,3.0
78,78.0,53.0,103.0,48.0,2.0,0.0,3.0,0.636006289308176,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
79,79.0,53.0,103.0,36.0,15.0,0.0,2.0,0.7075471698113207,0.91796875,-1.0,0.0,1.0,4.0,3.0
80,80.0,53.0,103.0,41.0,4.0,0.0,8.0,0.6698113207547169,0.9245283018867925,16.625,0.3333333333333333,0.0,4.0,3.0
81,81.0,53.0,104.0,52.0,0.0,0.0,1.0,0.7358490566037735,0.9061025943396226,-1.0,0.0,1.0,4.0,3.0
82,82.0,53.0,101.0,44.0,8.0,0.0,1.0,0.7264150943396226,0.9150943396226415,-1.0,0.0,1.0,4.0,3.0
83,83.0,53.0,103.0,44.0,9.0,0.0,0.0,0.6650943396226415,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
84,84.0,53.0,101.0,35.0,10.0,0.0,8.0,0.7122641509433962,0.9245283018867925,44.75,0.08333333333333333,0.75,4.0,3.0
85,85.0,53.0,102.0,51.0,2.0,0.0,0.0,0.7216981132075472,0.8570533608490566,-1.0,0.0,1.0,4.0,3.0
86,86.0,53.0,104.0,40.0,10.0,1.0,2.0,0.6981132075471698,0.9245283018867925,26.0,0.16666666666666666,0.5,4.0,3.0
87,87.0,53.0,101.0,41.0,8.0,0.0,4.0,0.5330188679245284,0.8196123231132075,-1.0,0.0,1.0,4.0,3.0
88,88.0,53.0,102.0,51.0,2.0,0.0,0.0,0.6580188679245284,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
89,89.0,53.0,103.0,44.0,6.0,0.0,3.0,0.6650943396226415,0.9245283018867925,26.0,0.16666666666666666,0.5,4.0,3.0
90,90.0,53.0,103.0,40.0,12.0,1.0,0.0,0.7169811320754716,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
91,91.0,53.0,100.0,45.0,4.0,0.0,4.0,0.7264150943396226,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
92,92.0,53.0,102.0,49.0,4.0,0.0,0.0,0.6556603773584906,0.9056603773584906,-1.0,0.0,1.0,4.0,3.0
93,93.0,53.0,103.0,36.0,14.0,0.0,3.0,0.6674528301886793,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
94,94.0,53.0,102.0,45.0,6.0,0.0,2.0,0.6462264150943396,0.8867924528301887,-1.0,0.0,1.0,4.0,3.0
95,95.0,53.0,103.0,50.0,2.0,0.0,1.0,0.7264150943396226,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
96,96.0,53.0,102.0,39.0,11.0,0.0,3.0,0.6179245283018868,0.8577719634433962,-1.0,0.0,1.0,4.0,3.0
97,97.0,53.0,102.0,44.0,8.0,0.0,1.0,0.7547169811320755,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
98,98.0,53.0,102.0,48.0,4.0,0.0,1.0,0.6509433962264151,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
99,99.0,53.0,102.0,47.0,6.0,0.0,0.0,0.7216981132075472,0.8867924528301887,-1.0,0.0,1.0,4.0,3.0
100,100.0,53.0,103.0,46.0,4.0,1.0,2.0,0.6745283018867925,0.9056603773584906,-1.0,0.0,1.0,4.0,3.0
101,101.0,53.0,102.0,40.0,11.0,0.0,2.0,0.7075471698113207,0.8839180424528302,1.0,0.3333333333333333,0.0,4.0,3.0
102,102.0,53.0,104.0,44.0,7.0,0.0,2.0,0.7075471698113207,0.889869545990566,-1.0,0.0,1.0,4.0,3.0
103,103.0,53.0,100.0,47.0,6.0,0.0,0.0,0.5674372797014307,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
104,104.0,53.0,103.0,49.0,4.0,0.0,0.0,0.7169811320754716,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
105,105.0,53.0,104.0,32.0,10.0,0.0,11.0,0.7358490566037735,0.9053287146226415,13.125,0.3333333333333333,0.5,4.0,3.0
106,106.0,53.0,103.0,42.0,8.0,0.0,3.0,0.7264150943396226,0.9245283018867925,100.66666666666667,0.16666666666666666,0.5,4.0,3.0
107,107.0,53.0,102.0,47.0,4.0,1.0,1.0,0.6509433962264151,0.8479879127358491,-1.0,0.0,1.0,4.0,3.0
108,108.0,53.0,104.0,40.0,11.0,0.0,2.0,0.6886792452830188,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
109,109.0,53.0,102.0,39.0,8.0,5.0,1.0,0.7169811320754716,0.9005196049528302,-1.0,0.0,1.0,4.0,3.0
110,110.0,53.0,104.0,46.0,7.0,0.0,0.0,0.7547169811320755,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
111,111.0,53.0,104.0,43.0,9.0,1.0,0.0,0.6415094339622641,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
112,112.0,53.0,102.0,39.0,9.0,0.0,5.0,0.6698113207547169,0.8190779775943396,22.75,0.16666666666666666,0.5,4.0,3.0
113,113.0,53.0,103.0,45.0,7.0,0.0,1.0,0.7452830188679245,0.9050339033018868,-1.0,0.0,1.0,4.0,3.0
114,114.0,53.0,101.0,43.0,9.0,0.0,1.0,0.6698113207547169,0.8873636497641509,-1.0,0.0,1.0,4.0,3.0
115,115.0,53.0,103.0,43.0,8.0,0.0,2.0,0.6509433962264151,0.9056603773584906,-1.0,0.0,1.0,4.0,3.0
116,116.0,53.0,101.0,41.0,9.0,0.0,3.0,0.6462264150943396,0.8217865566037735,34.333333333333336,0.16666666666666666,0.5,4.0,3.0
117,117.0,53.0,102.0,47.0,6.0,0.0,0.0,0.7122641509433962,0.8638155955188679,-1.0,0.0,1.0,4.0,3.0
118,118.0,53.0,101.0,49.0,3.0,0.0,1.0,0.7452830188679245,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
119,119.0,53.0,101.0,39.0,11.0,1.0,2.0,0.7051886792452831,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
