,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output
142,apoptosis,24,41,73,35,1,0,5,0.7804878048780488,0.9512195121951219,0.5,0.5,10.5,2.0,1.0
143,apoptosis,75,41,72,39,0,0,2,0.7317073170731707,0.9512195121951219,1.0,0.0,-1,2.0,1.0
144,apoptosis,57,41,73,40,0,0,1,0.7073170731707317,0.9512195121951219,1.0,0.0,-1,2.0,1.0
145,apoptosis,42,41,71,41,0,0,0,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
146,apoptosis,55,41,72,41,0,0,0,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
147,apoptosis,43,41,73,41,0,0,0,0.6219512195121951,0.887766768292683,1.0,0.0,-1,2.0,1.0
148,apoptosis,9,41,72,41,0,0,0,0.7682926829268293,0.8748094512195121,1.0,0.0,-1,2.0,1.0
149,apoptosis,58,41,70,37,3,0,1,0.774390243902439,0.9512195121951219,1.0,0.0,-1,2.0,1.0
150,apoptosis,26,41,73,39,1,0,1,0.7317073170731707,0.8549923780487805,1.0,0.0,-1,2.0,1.0
151,apoptosis,7,41,71,41,0,0,0,0.7195121951219512,0.8683546112804879,1.0,0.0,-1,2.0,1.0
152,apoptosis,70,41,72,40,0,0,1,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
153,apoptosis,72,41,71,29,4,0,8,0.7713414634146342,0.9512195121951219,0.5,0.5,55.0,2.0,1.0
154,apoptosis,1,41,72,41,0,0,0,0.7926829268292683,0.9329744664634146,1.0,0.0,-1,2.0,1.0
155,apoptosis,0,41,71,38,2,0,1,0.6707317073170732,0.891577743902439,1.0,0.0,-1,2.0,1.0
156,apoptosis,22,41,73,41,0,0,0,0.7804878048780488,0.9470274390243902,1.0,0.0,-1,2.0,1.0
157,apoptosis,11,41,71,41,0,0,0,0.7560975609756098,0.9108708079268293,1.0,0.0,-1,2.0,1.0
158,apoptosis,25,41,71,35,2,0,4,0.7073170731707317,0.8367473323170732,0.5,0.5,6.5,2.0,1.0
159,apoptosis,59,41,73,37,2,1,1,0.7317073170731707,0.9383812881097561,1.0,0.0,-1,2.0,1.0
160,apoptosis,44,41,72,40,0,0,1,0.5121951219512195,0.8404868521341463,1.0,0.0,-1,2.0,1.0
161,apoptosis,21,41,72,40,0,0,1,0.573170731707317,0.9040586890243902,1.0,0.0,-1,2.0,1.0
162,apoptosis,12,41,72,39,1,0,1,0.5548780487804879,0.9372856326219512,1.0,0.0,-1,2.0,1.0
163,apoptosis,60,41,73,38,1,0,2,0.7713414634146342,0.9163490853658537,0.0,1.0,1.0,2.0,1.0
164,apoptosis,45,41,73,33,6,0,2,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
165,apoptosis,10,41,71,41,0,0,0,0.524390243902439,0.7503334603658537,1.0,0.0,-1,2.0,1.0
166,apoptosis,20,41,70,41,0,0,0,0.7957317073170732,0.9512195121951219,1.0,0.0,-1,2.0,1.0
167,apoptosis,71,41,71,41,0,0,0,0.725609756097561,0.8673542301829268,1.0,0.0,-1,2.0,1.0
168,apoptosis,27,41,72,37,2,0,2,0.7804878048780488,0.9512195121951219,0.5,0.5,24.5,2.0,1.0
169,apoptosis,68,41,72,40,0,0,1,0.7682926829268293,0.9398342225609756,1.0,0.0,-1,2.0,1.0
170,apoptosis,73,41,71,35,5,0,1,0.6463414634146342,0.9512195121951219,1.0,0.0,-1,2.0,1.0
171,apoptosis,13,41,71,40,0,0,1,0.7378048780487805,0.9373332698170732,1.0,0.0,-1,2.0,1.0
172,apoptosis,46,41,73,41,0,0,0,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
173,apoptosis,61,41,71,41,0,0,0,0.8048780487804879,0.9264719893292683,1.0,0.0,-1,2.0,1.0
174,apoptosis,47,41,72,41,0,0,0,0.7469512195121951,0.9512195121951219,1.0,0.0,-1,2.0,1.0
175,apoptosis,62,41,72,41,0,0,0,0.8048780487804879,0.9446455792682927,1.0,0.0,-1,2.0,1.0
176,apoptosis,15,41,73,41,0,0,0,0.4603658536585366,0.8377238948170732,1.0,0.0,-1,2.0,1.0
177,apoptosis,67,41,71,36,1,0,4,0.8048780487804879,0.9512195121951219,0.5,0.5,18.5,2.0,1.0
178,apoptosis,16,41,72,40,0,0,1,0.676829268292683,0.8972227515243902,1.0,0.0,-1,2.0,1.0
