,model,network_idx,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc
343,colitis,75,22,0.15492957746478872,114,1.6285714285714286
344,colitis,29,26,0.18309859154929578,112,1.6
345,colitis,13,19,0.13380281690140844,115,1.6428571428571428
346,colitis,12,22,0.15492957746478872,115,1.6428571428571428
347,colitis,27,25,0.176056338028169,116,1.6571428571428573
348,colitis,36,24,0.16901408450704225,115,1.6428571428571428
349,colitis,77,24,0.16901408450704225,115,1.6428571428571428
350,colitis,34,31,0.21830985915492956,99,1.4142857142857144
351,colitis,74,27,0.19014084507042253,105,1.5
352,colitis,31,26,0.18309859154929578,109,1.5571428571428572
353,colitis,49,29,0.20422535211267606,106,1.5142857142857142
354,colitis,5,21,0.14788732394366197,105,1.5
355,colitis,57,24,0.16901408450704225,114,1.6285714285714286
356,colitis,53,23,0.1619718309859155,107,1.5285714285714285
357,colitis,50,26,0.18309859154929578,115,1.6428571428571428
358,colitis,98,26,0.18309859154929578,112,1.6
359,colitis,92,19,0.13380281690140844,122,1.7428571428571429
360,colitis,88,26,0.18309859154929578,110,1.5714285714285714
361,colitis,6,23,0.1619718309859155,111,1.5857142857142856
362,colitis,83,27,0.19014084507042253,112,1.6
363,colitis,55,24,0.16901408450704225,112,1.6
364,colitis,84,30,0.2112676056338028,101,1.4428571428571428
365,colitis,90,24,0.16901408450704225,114,1.6285714285714286
366,colitis,99,23,0.1619718309859155,106,1.5142857142857142
367,colitis,7,26,0.18309859154929578,98,1.4
368,colitis,94,24,0.16901408450704225,108,1.542857142857143
369,colitis,58,25,0.176056338028169,109,1.5571428571428572
370,colitis,87,27,0.19014084507042253,111,1.5857142857142856
371,colitis,52,27,0.19014084507042253,107,1.5285714285714285
372,colitis,91,26,0.18309859154929578,114,1.6285714285714286
373,colitis,61,29,0.20422535211267606,106,1.5142857142857142
374,colitis,86,26,0.18309859154929578,110,1.5714285714285714
375,colitis,56,25,0.176056338028169,110,1.5714285714285714
376,colitis,51,25,0.176056338028169,99,1.4142857142857144
377,colitis,62,24,0.16901408450704225,114,1.6285714285714286
378,colitis,93,26,0.18309859154929578,103,1.4714285714285715
379,colitis,65,26,0.18309859154929578,108,1.542857142857143
380,colitis,97,25,0.176056338028169,108,1.542857142857143
381,colitis,60,32,0.22535211267605634,106,1.5142857142857142
382,colitis,82,24,0.16901408450704225,114,1.6285714285714286
383,colitis,59,25,0.176056338028169,106,1.5142857142857142
384,colitis,63,26,0.18309859154929578,108,1.542857142857143
385,colitis,8,26,0.18309859154929578,108,1.542857142857143
386,colitis,64,26,0.18309859154929578,102,1.457142857142857
387,colitis,0,30,0.2112676056338028,106,1.5142857142857142
388,colitis,95,27,0.19014084507042253,107,1.5285714285714285
389,colitis,89,26,0.18309859154929578,110,1.5714285714285714
390,colitis,85,27,0.19014084507042253,111,1.5857142857142856
391,colitis,66,23,0.1619718309859155,111,1.5857142857142856
392,colitis,10,28,0.19718309859154928,98,1.4
393,colitis,54,21,0.14788732394366197,112,1.6
394,colitis,48,27,0.19014084507042253,111,1.5857142857142856
395,colitis,96,28,0.19718309859154928,103,1.4714285714285715
396,colitis,9,27,0.19014084507042253,105,1.5
397,colitis,40,22,0.15492957746478872,113,1.6142857142857143
398,colitis,4,27,0.19014084507042253,112,1.6
399,colitis,11,24,0.16901408450704225,107,1.5285714285714285
400,death,94,14,0.2413793103448276,40,1.4285714285714286
401,death,92,12,0.20689655172413793,29,1.0357142857142858
402,death,93,12,0.20689655172413793,45,1.6071428571428572
403,death,85,13,0.22413793103448276,45,1.6071428571428572
404,death,46,11,0.1896551724137931,38,1.3571428571428572
405,death,86,12,0.20689655172413793,41,1.4642857142857142
406,death,58,12,0.20689655172413793,32,1.1428571428571428
407,death,45,11,0.1896551724137931,44,1.5714285714285714
408,death,80,13,0.22413793103448276,39,1.3928571428571428
409,death,47,11,0.1896551724137931,45,1.6071428571428572
410,death,54,9,0.15517241379310345,48,1.7142857142857142
411,death,84,10,0.1724137931034483,44,1.5714285714285714
412,death,2,11,0.1896551724137931,43,1.5357142857142858
