,network,node,mut,robustness
541,hcc1954_long,21,ko,1.0
542,hcc1954_long,23,oe,0.0
543,hcc1954_long,23,ko,0.0
544,hcc1954_short,0,oe,1.0
545,hcc1954_short,0,ko,1.0
546,hcc1954_short,1,oe,1.0
547,hcc1954_short,1,ko,1.0
548,hcc1954_short,2,oe,0.0
549,hcc1954_short,2,ko,1.0
550,hcc1954_short,3,oe,0.0
551,hcc1954_short,3,ko,0.0
552,hcc1954_short,4,oe,1.0
553,hcc1954_short,4,ko,0.0
554,hcc1954_short,7,oe,1.0
555,hcc1954_short,7,ko,1.0
556,hcc1954_short,5,oe,1.0
557,hcc1954_short,5,ko,0.0
558,hcc1954_short,10,oe,1.0
559,hcc1954_short,10,ko,0.0
560,hcc1954_short,6,oe,1.0
561,hcc1954_short,6,ko,1.0
562,hcc1954_short,12,oe,1.0
563,hcc1954_short,12,ko,1.0
564,hcc1954_short,15,oe,1.0
565,hcc1954_short,15,ko,0.0
566,hcc1954_short,8,oe,1.0
567,hcc1954_short,8,ko,1.0
568,hcc1954_short,9,oe,1.0
569,hcc1954_short,9,ko,1.0
570,hcc1954_short,11,oe,1.0
571,hcc1954_short,11,ko,1.0
572,hcc1954_short,13,oe,1.0
573,hcc1954_short,13,ko,1.0
574,hcc1954_short,14,oe,1.0
575,hcc1954_short,14,ko,0.0
576,hgf,0,oe,1.0
577,hgf,0,ko,1.0
578,hgf,1,oe,0.0
579,hgf,1,ko,0.0
580,hgf,2,oe,0.0
581,hgf,2,ko,0.0
582,hgf,3,oe,0.0
583,hgf,3,ko,1.0
584,hgf,4,oe,0.0
585,hgf,4,ko,1.0
586,hgf,5,oe,0.0
587,hgf,5,ko,0.0
588,hgf,47,oe,1.0
589,hgf,47,ko,0.0
590,hgf,6,oe,1.0
591,hgf,6,ko,0.0
592,hgf,7,oe,1.0
593,hgf,7,ko,0.0
594,hgf,63,oe,1.0
595,hgf,63,ko,0.0
596,hgf,8,oe,1.0
597,hgf,8,ko,0.0
598,hgf,32,oe,1.0
599,hgf,32,ko,0.0
600,hgf,9,oe,1.0
